goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceCookiejarQueue/1000-4       	   10000	    229094 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	   10000	    227357 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	   10000	    227236 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	    5000	    229820 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	   10000	    219121 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	   10000	    213564 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000-4       	   10000	    211550 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2038832 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2101721 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2018052 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2098444 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2007801 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2020196 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2169210 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2126086 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2164815 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/10000-4      	    1000	   2023275 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  24261939 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  23869118 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  23449925 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	     100	  24866085 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  25073271 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  24288808 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  24375066 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  24118542 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	     100	  24029115 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/100000-4     	      50	  25027106 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 246746395 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 239302834 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 250746881 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 243063992 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 241194830 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 238658543 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 243935398 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 244333389 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 240748898 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarQueue/1000000-4    	       5	 232289304 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     10382 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     10612 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     10629 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     11105 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     10748 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     10508 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     10396 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     11644 ns/op	   65792 B/op	      10 allocs/op
