goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   3238057 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2660993 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2688127 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2601284 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2578769 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2614295 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2635974 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2948682 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2671267 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/10000-4      	     500	   2865220 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      30	  56223838 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      30	  36614342 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  34500225 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  31445748 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  34911316 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  33131518 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  32943522 ns/op	23781681 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  31718708 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  32573729 ns/op	23781680 B/op	  700054 allocs/op
