goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeQueue/10000-4      	    1000	   2475747 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2472903 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2521054 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2455165 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2747313 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2480173 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26359003 ns/op	14428609 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26779247 ns/op	14428608 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27382586 ns/op	14428608 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  28416442 ns/op	14428609 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27253801 ns/op	14428608 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26930138 ns/op	14428608 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26533581 ns/op	14428609 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27488407 ns/op	14428608 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  28135345 ns/op	14428608 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  28421662 ns/op	14428608 B/op	  701563 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 303296929 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 289237336 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 297237985 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 274279562 ns/op	144365091 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 269284478 ns/op	144365091 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 277886487 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 285730488 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 270315245 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 302332549 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 313514103 ns/op	144365072 B/op	 7015625 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       449 ns/op	     288 B/op	      11 allocs/op
