goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       514 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       506 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       546 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       535 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       532 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       543 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       509 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       533 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3599 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3839 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3740 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3687 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3656 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3550 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3748 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3717 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3560 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3552 ns/op	    5712 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     26054 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     26154 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25822 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     26233 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25808 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25585 ns/op	   20912 B/op	     709 allocs/op
