goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3554 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3576 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3743 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3728 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	  100000	     24330 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24543 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	  100000	     23911 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	  100000	     23750 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	  100000	     24946 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	  100000	     26466 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25722 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25348 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	  100000	     25056 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24295 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    238343 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    229962 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    239501 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    236611 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    248077 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    237733 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    237961 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    231325 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    233656 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    251382 ns/op	  133152 B/op	    7015 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	    1000	   2399041 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2316231 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	    1000	   2312882 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	    1000	   2342228 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	    1000	   2363312 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	    1000	   2365835 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2381161 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2360996 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	    1000	   2490055 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2441486 ns/op	 1431232 B/op	   70155 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  25291004 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  25325428 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  25157539 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  24878081 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  24700790 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  24681983 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  24852846 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  25099320 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  24888268 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  24786088 ns/op	14424464 B/op	  701561 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 274250306 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 279376631 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 270402225 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 266247080 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 268080035 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 265228594 ns/op	144360928 B/op	 7015623 allocs/op
