goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillSliceStack/100000-4    	     200	  10308445 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	   9837915 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	  11052456 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	  10534364 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	   9934718 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	  11825941 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     100	  11188918 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	   9354724 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	   9537259 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 109890621 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 126404344 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 124588404 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 118345730 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 119079731 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 113819259 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 112199764 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 115865051 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      20	 111344838 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/1000000-4   	      10	 108914035 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       475 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       468 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       487 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       478 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       473 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       475 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       505 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       475 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       477 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/1-4 	 3000000	       469 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3571 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3558 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3519 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3506 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3612 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3505 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3512 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3533 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3590 ns/op	    2168 B/op	     101 allocs/op
