goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillJujuStack/1000000-4   	      30	  58912605 ns/op	33251187 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      30	  59690525 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      30	  58624187 ns/op	33251190 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      30	  58116396 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      30	  58009608 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      30	  58799152 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       633 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       612 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/1-4 	 2000000	       604 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3110 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3137 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3120 ns/op	    3408 B/op	      77 allocs/op
